algoritmo,bloque_bits,tamano_chars,bits_datos,bits_redundancia,overhead_pct,prob_error,repeticiones,sin_error,detectado,no_detectado,tasa_deteccion_pct,tasa_entrega_pct,tasa_integridad_pct,flips_promedio
Fletcher-16,8,5,40,16,28.57,0.001,300,279,21,0,100.0,93.0,100.0,0.07
Fletcher-16,8,5,40,16,28.57,0.005,300,224,76,0,100.0,74.67,100.0,0.28
Fletcher-16,8,5,40,16,28.57,0.01,300,185,115,0,100.0,61.67,100.0,0.49
Fletcher-16,8,5,40,16,28.57,0.02,300,93,207,0,100.0,31.0,100.0,1.11
Fletcher-16,8,5,40,16,28.57,0.05,300,19,281,0,100.0,6.33,100.0,2.76
Fletcher-16,8,5,40,16,28.57,0.1,300,0,300,0,100.0,0.0,100.0,5.54
Fletcher-16,8,5,40,16,28.57,0.2,300,0,300,0,100.0,0.0,100.0,11.2
Fletcher-16,8,5,40,16,28.57,0.3,300,0,300,0,100.0,0.0,100.0,16.85
Fletcher-16,8,20,160,16,9.09,0.001,300,252,48,0,100.0,84.0,100.0,0.16
Fletcher-16,8,20,160,16,9.09,0.005,300,113,187,0,100.0,37.67,100.0,0.9
Fletcher-16,8,20,160,16,9.09,0.01,300,48,252,0,100.0,16.0,100.0,1.81
Fletcher-16,8,20,160,16,9.09,0.02,300,8,291,1,99.66,2.67,99.67,3.52
Fletcher-16,8,20,160,16,9.09,0.05,300,0,300,0,100.0,0.0,100.0,8.9
Fletcher-16,8,20,160,16,9.09,0.1,300,0,300,0,100.0,0.0,100.0,17.83
Fletcher-16,8,20,160,16,9.09,0.2,300,0,300,0,100.0,0.0,100.0,35.52
Fletcher-16,8,20,160,16,9.09,0.3,300,0,300,0,100.0,0.0,100.0,53.35
Fletcher-16,8,50,400,16,3.85,0.001,300,183,117,0,100.0,61.0,100.0,0.48
Fletcher-16,8,50,400,16,3.85,0.005,300,33,267,0,100.0,11.0,100.0,2.11
Fletcher-16,8,50,400,16,3.85,0.01,300,5,295,0,100.0,1.67,100.0,4.15
Fletcher-16,8,50,400,16,3.85,0.02,300,0,300,0,100.0,0.0,100.0,8.09
Fletcher-16,8,50,400,16,3.85,0.05,300,0,300,0,100.0,0.0,100.0,21.25
Fletcher-16,8,50,400,16,3.85,0.1,300,0,300,0,100.0,0.0,100.0,41.72
Fletcher-16,8,50,400,16,3.85,0.2,300,0,300,0,100.0,0.0,100.0,83.54
Fletcher-16,8,50,400,16,3.85,0.3,300,0,300,0,100.0,0.0,100.0,126.01
Fletcher-16,8,100,800,16,1.96,0.001,300,124,176,0,100.0,41.33,100.0,0.81
Fletcher-16,8,100,800,16,1.96,0.005,300,2,298,0,100.0,0.67,100.0,4.29
Fletcher-16,8,100,800,16,1.96,0.01,300,0,300,0,100.0,0.0,100.0,8.01
Fletcher-16,8,100,800,16,1.96,0.02,300,0,300,0,100.0,0.0,100.0,16.34
Fletcher-16,8,100,800,16,1.96,0.05,300,0,300,0,100.0,0.0,100.0,40.82
Fletcher-16,8,100,800,16,1.96,0.1,300,0,300,0,100.0,0.0,100.0,82.56
Fletcher-16,8,100,800,16,1.96,0.2,300,0,300,0,100.0,0.0,100.0,162.73
Fletcher-16,8,100,800,16,1.96,0.3,300,0,300,0,100.0,0.0,100.0,243.4
Fletcher-32,16,5,48,32,40.0,0.001,300,284,16,0,100.0,94.67,100.0,0.06
Fletcher-32,16,5,48,32,40.0,0.005,300,193,107,0,100.0,64.33,100.0,0.47
Fletcher-32,16,5,48,32,40.0,0.01,300,133,167,0,100.0,44.33,100.0,0.79
Fletcher-32,16,5,48,32,40.0,0.02,300,56,244,0,100.0,18.67,100.0,1.55
Fletcher-32,16,5,48,32,40.0,0.05,300,3,297,0,100.0,1.0,100.0,4.02
Fletcher-32,16,5,48,32,40.0,0.1,300,0,300,0,100.0,0.0,100.0,7.84
Fletcher-32,16,5,48,32,40.0,0.2,300,0,300,0,100.0,0.0,100.0,16.08
Fletcher-32,16,5,48,32,40.0,0.3,300,0,300,0,100.0,0.0,100.0,24.08
Fletcher-32,16,20,160,32,16.67,0.001,300,241,59,0,100.0,80.33,100.0,0.23
Fletcher-32,16,20,160,32,16.67,0.005,300,109,191,0,100.0,36.33,100.0,1.0
Fletcher-32,16,20,160,32,16.67,0.01,300,49,251,0,100.0,16.33,100.0,1.93
Fletcher-32,16,20,160,32,16.67,0.02,300,4,296,0,100.0,1.33,100.0,3.73
Fletcher-32,16,20,160,32,16.67,0.05,300,0,300,0,100.0,0.0,100.0,9.52
Fletcher-32,16,20,160,32,16.67,0.1,300,0,300,0,100.0,0.0,100.0,19.16
Fletcher-32,16,20,160,32,16.67,0.2,300,0,300,0,100.0,0.0,100.0,38.05
Fletcher-32,16,20,160,32,16.67,0.3,300,0,300,0,100.0,0.0,100.0,57.82
Fletcher-32,16,50,400,32,7.41,0.001,300,177,123,0,100.0,59.0,100.0,0.5
Fletcher-32,16,50,400,32,7.41,0.005,300,36,264,0,100.0,12.0,100.0,2.0
Fletcher-32,16,50,400,32,7.41,0.01,300,6,294,0,100.0,2.0,100.0,4.38
Fletcher-32,16,50,400,32,7.41,0.02,300,0,300,0,100.0,0.0,100.0,8.51
Fletcher-32,16,50,400,32,7.41,0.05,300,0,300,0,100.0,0.0,100.0,21.46
Fletcher-32,16,50,400,32,7.41,0.1,300,0,300,0,100.0,0.0,100.0,43.6
Fletcher-32,16,50,400,32,7.41,0.2,300,0,300,0,100.0,0.0,100.0,86.77
Fletcher-32,16,50,400,32,7.41,0.3,300,0,300,0,100.0,0.0,100.0,129.45
Fletcher-32,16,100,800,32,3.85,0.001,300,140,160,0,100.0,46.67,100.0,0.82
Fletcher-32,16,100,800,32,3.85,0.005,300,5,295,0,100.0,1.67,100.0,3.94
Fletcher-32,16,100,800,32,3.85,0.01,300,0,300,0,100.0,0.0,100.0,8.34
Fletcher-32,16,100,800,32,3.85,0.02,300,0,300,0,100.0,0.0,100.0,16.24
Fletcher-32,16,100,800,32,3.85,0.05,300,0,300,0,100.0,0.0,100.0,41.93
Fletcher-32,16,100,800,32,3.85,0.1,300,0,300,0,100.0,0.0,100.0,83.74
Fletcher-32,16,100,800,32,3.85,0.2,300,0,300,0,100.0,0.0,100.0,165.66
Fletcher-32,16,100,800,32,3.85,0.3,300,0,300,0,100.0,0.0,100.0,250.29
Fletcher-64,32,5,64,64,50.0,0.001,300,260,40,0,100.0,86.67,100.0,0.14
Fletcher-64,32,5,64,64,50.0,0.005,300,160,140,0,100.0,53.33,100.0,0.64
Fletcher-64,32,5,64,64,50.0,0.01,300,89,211,0,100.0,29.67,100.0,1.24
Fletcher-64,32,5,64,64,50.0,0.02,300,21,279,0,100.0,7.0,100.0,2.65
Fletcher-64,32,5,64,64,50.0,0.05,300,0,300,0,100.0,0.0,100.0,6.64
Fletcher-64,32,5,64,64,50.0,0.1,300,0,300,0,100.0,0.0,100.0,12.71
Fletcher-64,32,5,64,64,50.0,0.2,300,0,300,0,100.0,0.0,100.0,25.7
Fletcher-64,32,5,64,64,50.0,0.3,300,0,300,0,100.0,0.0,100.0,38.61
Fletcher-64,32,20,160,64,28.57,0.001,300,230,70,0,100.0,76.67,100.0,0.27
Fletcher-64,32,20,160,64,28.57,0.005,300,98,202,0,100.0,32.67,100.0,1.04
Fletcher-64,32,20,160,64,28.57,0.01,300,26,274,0,100.0,8.67,100.0,2.37
Fletcher-64,32,20,160,64,28.57,0.02,300,1,299,0,100.0,0.33,100.0,4.66
Fletcher-64,32,20,160,64,28.57,0.05,300,0,300,0,100.0,0.0,100.0,11.16
Fletcher-64,32,20,160,64,28.57,0.1,300,0,300,0,100.0,0.0,100.0,22.61
Fletcher-64,32,20,160,64,28.57,0.2,300,0,300,0,100.0,0.0,100.0,44.63
Fletcher-64,32,20,160,64,28.57,0.3,300,0,300,0,100.0,0.0,100.0,67.54
Fletcher-64,32,50,416,64,13.33,0.001,300,183,117,0,100.0,61.0,100.0,0.47
Fletcher-64,32,50,416,64,13.33,0.005,300,16,284,0,100.0,5.33,100.0,2.47
Fletcher-64,32,50,416,64,13.33,0.01,300,0,300,0,100.0,0.0,100.0,4.79
