algoritmo,bits_alterados,repeticiones,detectado_o_corregido,fallo_silencioso,tasa_pct
Fletcher-16,1,5000,5000,0,100.0
Fletcher-16,2,5000,5000,0,100.0
Fletcher-16,3,5000,5000,0,100.0
Fletcher-16,4,5000,5000,0,100.0
Fletcher-16,5,5000,5000,0,100.0
Fletcher-16,6,5000,5000,0,100.0
Fletcher-16,7,5000,5000,0,100.0
Fletcher-16,8,5000,5000,0,100.0
Fletcher-16,9,5000,4998,2,99.96
Fletcher-16,10,5000,5000,0,100.0
Fletcher-16,11,5000,5000,0,100.0
Fletcher-16,12,5000,4999,1,99.98
Fletcher-32,1,5000,5000,0,100.0
Fletcher-32,2,5000,5000,0,100.0
Fletcher-32,3,5000,4999,1,99.98
Fletcher-32,4,5000,5000,0,100.0
Fletcher-32,5,5000,5000,0,100.0
Fletcher-32,6,5000,5000,0,100.0
Fletcher-32,7,5000,5000,0,100.0
Fletcher-32,8,5000,5000,0,100.0
Fletcher-32,9,5000,5000,0,100.0
Fletcher-32,10,5000,5000,0,100.0
Fletcher-32,11,5000,5000,0,100.0
Fletcher-32,12,5000,5000,0,100.0
Fletcher-64,1,5000,5000,0,100.0
Fletcher-64,2,5000,5000,0,100.0
Fletcher-64,3,5000,5000,0,100.0
Fletcher-64,4,5000,5000,0,100.0
Fletcher-64,5,5000,5000,0,100.0
Fletcher-64,6,5000,5000,0,100.0
Fletcher-64,7,5000,5000,0,100.0
Fletcher-64,8,5000,5000,0,100.0
Fletcher-64,9,5000,5000,0,100.0
Fletcher-64,10,5000,5000,0,100.0
Fletcher-64,11,5000,5000,0,100.0
Fletcher-64,12,5000,5000,0,100.0
Hamming,1,5000,5000,0,100.0
Hamming,2,5000,970,4030,19.4
Hamming,3,5000,958,4042,19.16
Hamming,4,5000,947,4053,18.94
Hamming,5,5000,939,4061,18.78
Hamming,6,5000,957,4043,19.14
Hamming,7,5000,989,4011,19.78
Hamming,8,5000,1012,3988,20.24
Hamming,9,5000,1004,3996,20.08
Hamming,10,5000,989,4011,19.78
Hamming,11,5000,990,4010,19.8
Hamming,12,5000,983,4017,19.66
