tamano_chars,bits_datos,bits_paridad,overhead_pct,prob_error,repeticiones,no_error,corrected_ok,miscorrected,uncorrectable_detected,tasa_exito_pct,flips_promedio
5,40,6,13.04,0.001,300,281,18,1,0,99.67,0.07
5,40,6,13.04,0.005,300,220,76,3,1,98.67,0.28
5,40,6,13.04,0.01,300,183,89,18,10,90.67,0.49
5,40,6,13.04,0.02,300,120,110,46,24,76.67,0.91
5,40,6,13.04,0.05,300,29,69,143,59,32.67,2.27
5,40,6,13.04,0.1,300,5,11,197,87,5.33,4.62
5,40,6,13.04,0.2,300,4,0,225,71,1.33,9.29
5,40,6,13.04,0.3,300,8,0,207,85,2.67,14.15
20,160,8,4.76,0.001,300,259,38,2,1,99.0,0.15
20,160,8,4.76,0.005,300,149,92,41,18,80.33,0.78
20,160,8,4.76,0.01,300,54,90,110,46,48.0,1.81
20,160,8,4.76,0.02,300,11,24,191,74,11.67,3.48
20,160,8,4.76,0.05,300,1,0,198,101,0.33,8.58
20,160,8,4.76,0.1,300,0,0,208,92,0.0,16.82
20,160,8,4.76,0.2,300,3,0,194,103,1.0,33.0
20,160,8,4.76,0.3,300,2,0,198,100,0.67,50.33
50,400,9,2.2,0.001,300,203,79,14,4,94.0,0.39
50,400,9,2.2,0.005,300,37,80,146,37,39.0,2.05
50,400,9,2.2,0.01,300,4,28,214,54,10.67,4.07
50,400,9,2.2,0.02,300,0,1,247,52,0.33,8.24
50,400,9,2.2,0.05,300,0,0,251,49,0.0,20.79
50,400,9,2.2,0.1,300,1,0,244,55,0.33,40.77
50,400,9,2.2,0.2,300,0,0,242,58,0.0,82.09
50,400,9,2.2,0.3,300,1,0,224,75,0.33,122.85
100,800,10,1.23,0.001,300,117,129,40,14,82.0,0.83
100,800,10,1.23,0.005,300,10,18,229,43,9.33,4.01
100,800,10,1.23,0.01,300,0,0,234,66,0.0,8.41
100,800,10,1.23,0.02,300,0,0,243,57,0.0,16.29
100,800,10,1.23,0.05,300,0,0,240,60,0.0,40.58
100,800,10,1.23,0.1,300,2,0,219,79,0.67,80.43
100,800,10,1.23,0.2,300,1,0,243,56,0.33,161.07
100,800,10,1.23,0.3,300,0,0,238,62,0.0,241.81
