algoritmo,tamano_chars,bits_datos,bits_redundancia,overhead_pct
Hamming,5,40,6,13.04
Fletcher-16,5,40,16,28.57
Fletcher-32,5,48,32,40.0
Fletcher-64,5,64,64,50.0
Hamming,10,80,7,8.05
Fletcher-16,10,80,16,16.67
Fletcher-32,10,80,32,28.57
Fletcher-64,10,96,64,40.0
Hamming,20,160,8,4.76
Fletcher-16,20,160,16,9.09
Fletcher-32,20,160,32,16.67
Fletcher-64,20,160,64,28.57
Hamming,50,400,9,2.2
Fletcher-16,50,400,16,3.85
Fletcher-32,50,400,32,7.41
Fletcher-64,50,416,64,13.33
Hamming,100,800,10,1.23
Fletcher-16,100,800,16,1.96
Fletcher-32,100,800,32,3.85
Fletcher-64,100,800,64,7.41
Hamming,200,1600,11,0.68
Fletcher-16,200,1600,16,0.99
Fletcher-32,200,1600,32,1.96
Fletcher-64,200,1600,64,3.85
Hamming,400,3200,12,0.37
Fletcher-16,400,3200,16,0.5
Fletcher-32,400,3200,32,0.99
Fletcher-64,400,3200,64,1.96
